latitude,longitude,month,price,region
40.4131541,-3.7032569,1,53.0,Centro
40.41322,-3.69555,2,38.666666666666664,Centro
40.41322,-3.69555,3,42.0,Centro
40.41378,-3.71879,6,111.0,Arganzuela
40.41378,-3.71879,7,111.0,Arganzuela
40.41378,-3.71879,9,103.0,Arganzuela
40.41378,-3.71879,10,105.18181818181819,Arganzuela
40.41378,-3.71879,11,111.0,Arganzuela
40.41378,-3.71879,12,106.78947368421052,Arganzuela
40.41396,-3.70073,2,117.0,Centro
40.41396,-3.70073,4,126.0,Centro
40.41396,-3.70073,6,126.0,Centro
40.41424,-3.70154,5,214.0,Centro
40.41424,-3.70154,8,186.0,Centro
40.41434,-3.71244,3,94.0,Centro
40.41455,-3.71026,1,103.0,Centro
40.41456,-3.70863,1,87.0,Centro
40.41465,-3.70334,5,209.33333333333334,Centro
40.41465,-3.70334,6,182.4,Centro
40.41465,-3.70334,7,156.0,Centro
40.41465,-3.70334,8,149.66666666666666,Centro
40.41465,-3.70334,9,176.53333333333333,Centro
40.41465,-3.70334,10,178.0,Centro
40.41465,-3.70334,11,150.8181818181818,Centro
40.41465,-3.69867,2,47.0,Centro
40.41489,-3.70142,4,205.0,Centro
40.4151,-3.71072,3,82.0,Centro
40.4151,-3.71072,4,82.0,Centro
40.4151,-3.71072,5,82.0,Centro
40.4151,-3.71072,6,82.0,Centro
40.4151,-3.71072,7,82.0,Centro
40.41524,-3.70229,6,179.0,Centro
40.41528,-3.69576,2,44.0,Centro
40.41543,-3.70937,2,59.0,Centro
40.41543,-3.70937,3,59.0,Centro
40.41543,-3.70937,4,59.0,Centro
40.41543,-3.70937,5,59.0,Centro
40.41543,-3.70937,6,59.0,Centro
40.41543,-3.70937,7,59.0,Centro
40.41543,-3.70937,8,59.0,Centro
40.41549,-3.71129,2,82.0,Centro
40.41549,-3.71129,3,82.0,Centro
40.41549,-3.71129,4,82.0,Centro
40.41549,-3.71129,5,79.42857142857143,Centro
40.41549,-3.71129,6,82.0,Centro
40.41549,-3.71129,7,73.0,Centro
40.41549,-3.71129,8,68.5,Centro
40.41549,-3.71129,9,79.75,Centro
40.41549,-3.71129,10,77.5,Centro
40.41549,-3.71129,11,72.4,Centro
40.41549588285871,-3.6960766493639152,1,40.0,Centro
40.41549588285871,-3.6960766493639152,2,44.0,Centro
40.41565,-3.70655,3,263.0,Centro
40.41565,-3.70655,6,281.0,Centro
40.41565,-3.70655,7,281.0,Centro
40.41565,-3.70655,8,275.0,Centro
40.41566,-3.71093,4,205.0,Centro
40.41566,-3.71093,5,205.0,Centro
40.41566,-3.71093,6,205.0,Centro
40.41566,-3.71093,7,205.0,Centro
40.41566,-3.71093,8,205.0,Centro
40.41566,-3.71093,9,205.0,Centro
40.41566,-3.71093,10,205.0,Centro
40.41566,-3.71093,11,205.0,Centro
40.4158,-3.70412,1,74.0,Centro
40.4158,-3.70412,2,79.75,Centro
40.4158,-3.70412,3,80.0,Centro
40.4158,-3.70412,4,77.71428571428571,Centro
40.4158,-3.70412,5,76.0,Centro
40.4158,-3.70412,6,76.0,Centro
40.4158,-3.70412,7,76.0,Centro
40.4158,-3.70412,8,76.0,Centro
40.4158,-3.70412,9,76.0,Centro
40.4158,-3.70412,10,76.0,Centro
40.4158,-3.70412,11,76.0,Centro
40.4158,-3.70412,12,76.0,Centro
40.41588,-3.70105,6,137.0,Centro
40.41588,-3.70105,7,137.0,Centro
40.41588,-3.70105,8,115.0,Centro
40.41588,-3.70105,9,137.0,Centro
40.41588,-3.70105,10,137.0,Centro
40.41588,-3.70105,11,115.0,Centro
40.41588,-3.70088,2,164.0,Centro
40.41588,-3.70088,4,164.0,Centro
40.41588,-3.70088,5,187.0,Centro
40.41594,-3.71035,1,79.0,Centro
40.41607,-3.70658,12,139.0,Centro
40.41618,-3.70019,1,98.0,Centro
40.41618,-3.70019,2,98.0,Centro
40.41634,-3.70076,1,90.0,Centro
40.41634,-3.70076,2,90.875,Centro
40.4164,-3.70256,4,220.0,Centro
40.41641,-3.70498,4,259.0,Centro
40.41652,-3.70508,11,780.0,Centro
40.41658,-3.70696,5,356.0,Centro
40.41688,-3.70973,1,80.0,Centro
40.41688,-3.70973,2,80.0,Centro
40.41688,-3.70973,3,80.0,Centro
40.41688,-3.70973,4,80.0,Centro
