month,year,latitude,longitude,price,room_type
2,2024,40.44925049,-3.57680619,97.0,Double Room (1 Adult)
2,2024,40.41261177,-3.69404688,201.0,Individual Room
2,2024,40.40689331,-3.6831142,138.0,Single Room
2,2024,40.43754881,-3.71542275,46.0,Economy Single Room with Shared Bathroom
2,2024,40.4515416,-3.59286189,114.0,Double or Twin Room
2,2024,40.447457,-3.54927,98.0,Standard Queen Room
2,2024,40.42369331,-3.71080033,229.0,Deluxe Twin
2,2024,40.4210194,-3.70042,146.0,Deluxe Double or Twin Room
2,2024,40.43109237,-3.68746743,102.0,Single Room
2,2024,40.41915269,-3.70947227,113.0,Single Room
2,2024,40.45341253,-3.70171726,51.0,Superior Single Room with Shared Bathroom
2,2024,40.4190527,-3.700938,135.0,Budget Single Room
2,2024,40.43837356,-3.69514793,180.0,Superior Double or Twin Room
2,2024,40.4235125,-3.7005919,121.0,Single Room
2,2024,40.40845368,-3.69281173,90.0,Single Room
2,2024,40.4206944,-3.70739244,144.0,Queen Room - Non-Smoking
2,2024,40.45860935,-3.58240396,82.0,Partner offer option
2,2024,40.42038,-3.697279,105.0,Budget Single Room
2,2024,40.46658238,-3.59016761,61.0,Single Room
2,2024,40.39889583,-3.6700666,130.0,Standard Double or Twin Room
2,2024,40.41868098,-3.70398045,134.0,Budget Single Room
2,2024,40.41634894,-3.70546907,75.0,Single Room
2,2024,40.43256949,-3.65625858,88.0,Standard Room with 1 Double Bed
2,2024,40.41449365,-3.70012745,152.0,Single Room
2,2024,40.41184389,-3.69792804,155.0,Single Room
2,2024,40.42148464,-3.72164011,112.0,Small Double Room
2,2024,40.3631207,-3.7621126,40.0,Double Room
2,2024,40.45579703,-3.68197963,133.0,Standard Single Room
2,2024,40.41906,-3.70164,122.0,Deluxe Double or Twin Room
2,2024,40.41962508,-3.70772243,138.0,Single Room
2,2024,40.42752447,-3.68504539,207.0,Standard Single Room
2,2024,40.43671385,-3.67907748,172.0,Standard Single Room
2,2024,40.45099256,-3.59465897,99.0,Standard Double or Twin Room
2,2024,40.43051355,-3.66425693,128.0,Double Room
2,2024,40.4099119,-3.69264007,147.0,Standard Single Room with View and Terrace
2,2024,40.44714301,-3.54347706,64.0,Double Room - Single Use
2,2024,40.45824608,-3.58274058,114.0,Double or Twin Room (1-2 Adults)
2,2024,40.432486,-3.651702,56.0,Single Room
2,2024,40.41478058,-3.69476303,198.0,Superior Interior Room with Extra Bed (2 Adults + 1 Child)
2,2024,40.42247011,-3.71025652,31.0,Single Room
2,2024,40.51257565,-3.67628932,98.0,Standard Room with Two Single Beds - Non-Smoking
2,2024,40.44888105,-3.711382,147.0,Economy Single Room
2,2024,40.4542353,-3.6125369,102.0,Single Room
2,2024,40.40400428,-3.69006112,183.0,Standard King Room
2,2024,40.46986968,-3.58180046,143.0,Meliá Room
2,2024,40.42869502,-3.69622484,150.0,Avani Room
2,2024,40.4186758,-3.705107,152.0,Studio
2,2024,40.45596031,-3.68974328,206.0,Standard Queen Room
2,2024,40.4475492,-3.62816378,142.0,Premium Room
2,2024,40.447369,-3.54967,71.0,Standard Twin Room
2,2024,40.47286912,-3.58212233,65.0,Single Room
2,2024,40.42062895,-3.71644063,123.0,Standard Single Room
2,2024,40.419718,-3.701839,230.0,King Cobalto Room
2,2024,40.4503782,-3.61315481,72.0,Single Room
2,2024,40.43083001,-3.70771676,128.0,Single  Interior Room
2,2024,40.4226564,-3.6960838,81.0,Small Single Room
2,2024,40.41973569,-3.70896935,136.0,Executive Double or Twin Room
2,2024,40.4503782,-3.61315481,72.0,Single Room
2,2024,40.43083001,-3.70771676,128.0,Single  Interior Room
2,2024,40.4226564,-3.6960838,90.0,Small Single Room
2,2024,40.42148464,-3.67212184,194.0,Standard Queen Room
2,2024,40.42089452,-3.70663851,98.0,Single Room
2,2024,40.41973569,-3.70896935,136.0,Executive Double or Twin Room
2,2024,40.47039204,-3.68518353,153.0,Deluxe Double or Twin Room
2,2024,40.45701749,-3.64773721,104.0,Twin Room
2,2024,40.4143068,-3.70712534,54.0,Single Bed in 10-Bed Dormitory Room
2,2024,40.421459,-3.707392,185.0,Single Room
2,2024,40.42810127,-3.69599283,180.0,Standard Double or Twin Room
2,2024,40.42143666,-3.70809093,163.0,Single Room
2,2024,40.441433,-3.657524,119.0,Standard Double Room
2,2024,40.4980714,-3.6645627,110.0,Standard Double or Twin Room
2,2024,40.45126402,-3.69370624,186.0,Double Room with Two Double Beds
2,2024,40.4299623,-3.70845973,127.0,Comfort Room
